"","clusterNum","med_rent_00","hhinc_all_00","pct_inc_rent_00","own_rate_00","shwhite_hh_00","ed1_ns_00"
"36005008300",17,-1.09125288426272,-0.868165994298476,-0.33160890099804,-1.03907294740584,-0.68968697173945,1.66943712002924
"36005008400",7,0.649630657129532,0.0421416091766841,2.52140264674189,1.05991110211841,-0.76834700642489,-1.10019233411561
"36005008500",2,-1.55220662401439,-1.19947135697591,0.325334547494706,-0.998523241512527,-0.758105028306797,1.99129959168191
"36005008600",20,-2.00420980571264,-1.41453395564002,-0.125140960043178,-1.06017887460821,-0.568680109769482,-0.110907233794223
"36005008700",17,-1.04202481496885,-1.1862558223201,0.306564734680627,-1.03958184794148,-0.74939693760131,0.954229348133517
"36005008800",20,-2.12951761846067,-1.33863902804523,-0.369148526626197,-0.752223468308696,-0.676506174104382,-0.483409765954491
"36005008900",2,-1.42689881126637,-1.47494782835228,1.01981762161561,-0.90411562531192,-0.189493660404197,2.33187465984093
"36005009200",18,-0.209622915999812,-0.250164441026676,0.137636419353921,-0.499286672817762,-0.311963435870217,-0.420808436589502
"36005009400",14,0.354262241366322,0.350737828629244,-0.162680585671335,0.284142368106706,-0.438348225154528,-0.469300116185271
"36005009800",14,-0.330455449721124,-0.140880060566813,-0.500537216324747,0.226986637965975,-0.602098905946355,-0.812810894069566
"36005009900",17,-0.970420350541409,-1.18102354941556,0.362874173122863,-1.04889786518803,-0.654547970117529,1.26480932205228
"36005010200",2,-0.15591956767923,-1.0752992721691,2.80294983895306,-0.479636413793305,-0.529740922454942,4.91665011466446
"36005011000",20,-2.46516354546431,-1.66649216942483,0.287794921866549,-0.727781094089634,0.369239676070833,1.66829345520037
"36005011501",12,-0.710854166991924,-1.22304355552525,2.95310834146569,-1.18681512110222,-0.738649253484425,1.47845442964727
"36005011502",17,-1.13153039550316,-1.45137562980294,0.832119493474825,-1.16539271121055,-0.604912747745558,1.46121925847559
"36005011800",8,0.193152196404575,0.914528719333339,-0.59438628039514,1.53571553837929,1.38444967655769,-0.517193935351824
"36005011900",20,-1.49850327569381,-1.24780245514572,0.306564734680627,-1.05508422964736,-0.686970997275577,1.37992643674395
"36005012101",12,-0.836161979739953,-1.03581449107501,2.01461770076177,-0.578851698152061,-0.937215563437438,0.794876153689136
"36005012102",2,-1.62828636746856,-1.21015166661612,0.494262862821412,-1.31287506762473,-0.708695485432403,2.90603443352599
"36005012300",20,-1.71779194800286,-1.27396381966845,-0.0312918959727853,-1.07033106760059,-0.842708708322322,1.03877733167849
"36005012500",12,-0.92119228124754,-0.755051805836317,2.82171965176714,0.126022615698698,-0.746294019876152,1.04961629682106
