"","CT_id_full","med_rent_00","med_rent_10","med_rent_15","hhinc_all_00","hhinc_owners_00","hhinc_renters_00","hhinc_all_10","hhinc_owners_10","hhinc_renters_10","hhinc_all_15","hhinc_owners_15","hhinc_renters_15","pct_inc_rent_00","pct_inc_rent_10","pct_inc_rent_15","total_hh_00","owner_hh_00","renter_hh_00","own_rate_00","owner_1ymoved_00","renter_1ymoved_00","tot_1ymoved_00","sh_1ymoved_00","owner_5ymoved_00","renter_5ymoved_00","tot_5ymoved_00","sh_5ymoved_00","total_hh_10","owner_hh_10","renter_hh_10","own_rate_10","owner_1ymoved_10","renter_1ymoved_10","tot_1ymoved_10","sh_1ymoved_10","owner_5ymoved_10","renter_5ymoved_10","tot_5ymoved_10","sh_5ymoved_10","total_hh_15","owner_hh_15","renter_hh_15","own_rate_15","owner_1ymoved_15","renter_1ymoved_15","tot_1ymoved_15","sh_1ymoved_15","owner_5ymoved_15","renter_5ymoved_15","tot_5ymoved_15","sh_5ymoved_15","shwhite_hh_00","shblack_hh_00","shasian_hh_00","shother_hh_00","shwhite_hh_10","shblack_hh_10","shasian_hh_10","shother_hh_10","shwhite_hh_15","shblack_hh_15","shasian_hh_15","shother_hh_15","ed1_ns_00","ed2_hs_00","ed3_sc_00","ed4_bc_00","ed1_ns_10","ed2_hs_10","ed3_sc_10","ed4_bc_10","ed1_ns_15","ed2_hs_15","ed3_sc_15","ed4_bc_15"
"1735","36081046100",1076.71232876712,1353.26086956522,1544,50635.6164383562,71275.3424657534,43735.6164383562,52833.6956521739,54606.5217391304,52391.3043478261,44757,90357,41688,28,30.7,41.9,756,231,525,0.305555555555556,0,115,115,0.152116402116402,46,348,394,0.152116402116402,846,302,544,0.356973995271868,93,163,256,0.302600472813239,177,395,572,0.302600472813239,775,212,563,0.273548387096774,0,6,6,0.00774193548387097,11,197,208,0.00774193548387097,0.162698412698413,0.0105820105820106,0.515873015873016,0.310846560846561,0.494089834515366,0.0141843971631206,0.358156028368794,NA,0.312258064516129,NA,0.499354838709677,NA,0.0596491228070175,0.605263157894737,0.161988304093567,0.173099415204678,0.0279419666845782,0.619559376679205,0.191832348199893,0.160666308436325,0.0771028037383178,0.557943925233645,0.193457943925234,0.171495327102804
"1736","36081046200",1052.05479452055,1253.26086956522,1323,50213.698630137,57020.5479452055,49164.3835616438,43697.8260869565,36956.5217391304,44994.5652173913,47524,72500,45758,25.2,34.6,41,1898,526,1372,0.277133825079031,20,253,273,0.143835616438356,100,748,848,0.143835616438356,2004,598,1406,0.298403193612774,67,649,716,0.357285429141717,162,972,1134,0.357285429141717,2095,594,1501,0.283532219570406,0,8,8,0.00381861575178998,102,558,660,0.00381861575178998,0.181243414120126,0.330874604847208,0.136459430979979,0.351422550052687,0.0918163672654691,0.250998003992016,0.340818363273453,NA,0.125536992840095,0.132696897374702,0.43436754176611,NA,0.0465882352941176,0.637882352941176,0.188235294117647,0.127294117647059,0.0341861490957212,0.636744596382885,0.162549625055139,0.166519629466255,0.0448683015440509,0.47338782924614,0.242870118074478,0.238873751135332
"1737","36081046300",1083.56164383562,1307.60869565217,1437,52880.8219178082,73820.5479452055,48384.9315068493,54347.8260869565,51558.6956521739,54383.6956521739,42720,51776,36207,26.9,31.8,47.1,1049,284,765,0.270734032411821,27,128,155,0.147759771210677,62,516,578,0.147759771210677,1044,107,937,0.102490421455939,9,451,460,0.440613026819923,16,659,675,0.440613026819923,1063,293,770,0.275634995296331,0,10,10,0.00940733772342427,27,246,273,0.00940733772342427,0.351763584366063,0.0219256434699714,0.325071496663489,0.301239275500477,0.483716475095785,0.00862068965517241,0.369731800766284,NA,0.444967074317968,0.00752587017873942,0.399811853245532,NA,0.118951612903226,0.603225806451613,0.128629032258065,0.149193548387097,0.0557184750733138,0.589861751152074,0.156263091746963,0.19815668202765,0.0501764014112113,0.636613092904743,0.142689141513132,0.170521364170913
"1738","36081046400",1241.09589041096,1233.69565217391,1360,82969.8630136986,155468.493150685,49847.9452054795,72044.5652173913,72719.5652173913,71156.5217391304,95250,124107,60750,29.4,21.7,23.3,479,215,264,0.448851774530271,19,53,72,0.150313152400835,36,170,206,0.150313152400835,573,350,223,0.610820244328098,46,72,118,0.205933682373473,152,109,261,0.205933682373473,481,306,175,0.636174636174636,5,0,5,0.0103950103950104,36,94,130,0.0103950103950104,0.457202505219207,0.296450939457203,0.173277661795407,0.0730688935281837,0.43979057591623,0.143106457242583,0.118673647469459,NA,0.382536382536383,0.222453222453222,0.1995841995842,NA,0.0432489451476793,0.25,0.121308016877637,0.585443037974684,0.0278063851699279,0.212152420185376,0.0947476828012358,0.66529351184346,0,0.232989690721649,0.208247422680412,0.558762886597938
"1739","36081046500",1153.42465753425,1332.60869565217,1431,59141.095890411,82372.602739726,55283.5616438356,49279.347826087,59713.0434782609,39875,42344,83304,39414,26.1,42.5,40.1,1088,256,832,0.235294117647059,9,126,135,0.124080882352941,90,478,568,0.124080882352941,997,220,777,0.220661985957874,22,314,336,0.337011033099298,79,559,638,0.337011033099298,925,170,755,0.183783783783784,0,0,0,0,0,308,308,0,0.488051470588235,0.0193014705882353,0.162683823529412,0.329963235294118,0.786359077231695,NA,0.152457372116349,NA,0.566486486486486,NA,0.154594594594595,NA,0.0788888888888889,0.673333333333333,0.161481481481481,0.0862962962962963,0.0234929078014184,0.820921985815603,0.0806737588652482,0.0749113475177305,0.0284683239775461,0.677626303127506,0.141539695268645,0.152365677626303
"1740","36081046600",1252.05479452055,1430.4347826087,1553,71413.698630137,109073.97260274,69778.0821917808,66242.3913043478,93345.652173913,64311.9565217391,52477,86184,46835,22.8,31.5,36.9,1296,311,985,0.239969135802469,37,131,168,0.12962962962963,102,530,632,0.12962962962963,1270,512,758,0.403149606299213,210,255,465,0.366141732283465,289,430,719,0.366141732283465,1391,332,1059,0.238677210639827,0,57,57,0.0409777138749101,29,411,440,0.0409777138749101,0.351851851851852,0.375,0.167438271604938,0.10570987654321,0.278740157480315,0.341732283464567,0.211023622047244,NA,0.258806613946801,0.329978432782171,0.291876347951114,NA,0.00727272727272727,0.301818181818182,0.250454545454545,0.440454545454545,0.00471293916023993,0.220222793487575,0.19751499571551,0.577549271636675,0.0270935960591133,0.286124794745484,0.219622331691297,0.467159277504105
"1741","36081046700",987.671232876712,1261.95652173913,1283,40549.3150684932,63676.7123287671,39219.1780821918,44607.6086956522,42742.3913043478,45552.1739130435,34214,46148,32702,31,38.5,41.8,2008,271,1737,0.13496015936255,18,298,316,0.157370517928287,80,807,887,0.157370517928287,2154,299,1855,0.138811513463324,30,834,864,0.401114206128134,117,1227,1344,0.401114206128134,2063,173,1890,0.0838584585555017,0,0,0,0,36,579,615,0,0.3550796812749,0.0537848605577689,0.278386454183267,0.312749003984064,0.540854224698236,0.00696378830083565,0.306406685236769,NA,0.521570528356762,0.0552593310712555,0.249151720794959,NA,0.0636902242911553,0.585272958104105,0.174777824798984,0.176258992805755,0.0857334226389819,0.659522214780085,0.137977227059612,0.116767135521322,0.0620376998329754,0.61321880219518,0.144356955380577,0.180386542591267
"1742","36081046800",973.972602739726,1138.04347826087,1349,49150.6849315069,50608.2191780822,47175.3424657534,48497.8260869565,62991.3043478261,39515.2173913043,42089,71332,37692,25.2,34.4,40.2,1179,518,661,0.439355385920271,44,94,138,0.11704834605598,109,310,419,0.11704834605598,1159,557,602,0.480586712683348,64,300,364,0.314063848144953,157,447,604,0.314063848144953,1011,359,652,0.355093966369931,0,0,0,0,14,214,228,0,0.184054283290925,0.206106870229008,0.221374045801527,0.388464800678541,0.116479723899914,0.176876617773943,0.379637618636756,NA,0.155291790306627,0.117705242334322,0.467853610286845,NA,0.0405918057663126,0.564112291350531,0.208649468892261,0.186646433990895,0.0212331563903634,0.628828093099224,0.190690077582687,0.159248672927726,0.044038221852929,0.459077690070627,0.203572912339011,0.293311175737432
"1743","36081046900",1006.84931506849,1278.26086956522,1250,51443.8356164384,89582.1917808219,50124.6575342466,40673.9130434783,88189.1304347826,39390.2173913043,45048,47379,42903,23.8,36.4,36.2,2726,340,2386,0.12472487160675,66,430,496,0.181951577402788,162,1164,1326,0.181951577402788,2615,305,2310,0.116634799235182,90,751,841,0.321606118546845,114,1305,1419,0.321606118546845,2757,409,2348,0.148349655422561,0,0,0,0,90,592,682,0,0.329420396184886,0.045487894350697,0.312179016874541,0.312912692589875,0.529254302103251,0.0240917782026769,0.358699808795411,NA,0.39753355096119,0.0355458832063838,0.340587595212187,NA,0.043778801843318,0.609117840684661,0.16705069124424,0.180052666227781,0.0235038871813415,0.563550894955704,0.204483818477671,0.208461399385283,0.0517272562850425,0.580213420148309,0.168384879725086,0.199674443841563
"1744","36081047000",957.534246575343,1361.95652173913,1375,62653.4246575342,71712.3287671233,44275.3424657534,65597.8260869565,87409.7826086956,43840.2173913043,53409,56202,48050,24.4,39.7,33.5,1003,595,408,0.593220338983051,13,119,132,0.13160518444666,146,269,415,0.13160518444666,925,583,342,0.63027027027027,87,217,304,0.328648648648649,213,243,456,0.328648648648649,902,597,305,0.661862527716186,0,0,0,0,45,162,207,0,0.174476570289133,0.213359920239282,0.305084745762712,0.307078763708873,0.121081081081081,0.0854054054054054,0.487567567567568,NA,0.135254988913525,0.147450110864745,0.386917960088692,NA,0.0519206416209371,0.534824820599409,0.215280709159983,0.197973828619671,0.0594888981985756,0.504398826979472,0.250104733975702,0.186007540846251,0.0755864465682016,0.571242397914857,0.193310165073849,0.159860990443093
